Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-01-04 17:11:47.894 -0700,"Success",0:00:07,0,0,0,"20190104_171147.894/LogFile.txt","","",1
2019-01-04 17:13:14.741 -0700,"Aborted",0:00:06,1,0,1,"20190104_171314.741/LogFile.txt","","",0
2019-01-04 17:13:28.209 -0700,"Success",0:00:01,0,0,0,"20190104_171328.209/LogFile.txt","","",1
2019-01-04 17:14:29.712 -0700,"Aborted",0:00:05,1,0,1,"20190104_171429.712/LogFile.txt","","",0
2019-01-04 17:14:52.124 -0700,"Aborted",0:00:12,1,0,1,"20190104_171452.124/LogFile.txt","","",0
2019-01-04 17:16:18.043 -0700,"Success",0:00:01,0,0,0,"20190104_171618.043/LogFile.txt","","",1
2019-01-04 17:17:18.220 -0700,"Success",0:00:00,0,0,0,"20190104_171718.220/LogFile.txt","","",1
2019-01-04 17:17:47.856 -0700,"Success",0:00:00,0,0,0,"20190104_171747.856/LogFile.txt","","",1
2019-01-07 11:54:59.351 -0700,"Success",0:00:03,0,0,0,"20190107_115459.351/LogFile.txt","","",1
2019-01-07 11:55:20.650 -0700,"Success",0:00:00,0,0,0,"20190107_115520.650/LogFile.txt","","",1
2019-01-07 12:00:33.195 -0700,"Success",0:00:02,0,0,0,"20190107_120033.195/LogFile.txt","","",1
2019-01-07 12:01:04.599 -0700,"Aborted",0:00:07,1,0,1,"20190107_120104.599/LogFile.txt","","",0
2019-01-07 12:04:04.686 -0700,"Success",0:00:01,0,0,0,"20190107_120404.686/LogFile.txt","","",1
2019-01-07 12:06:17.099 -0700,"Failure",0:00:05,1,0,1,"20190107_120617.099/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0004""",0
2019-01-07 12:06:28.754 -0700,"Success",0:00:00,0,0,0,"20190107_120628.754/LogFile.txt","","",1
2019-01-07 12:06:55.173 -0700,"Success",0:00:00,0,0,0,"20190107_120655.173/LogFile.txt","","",1
