Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-12-14 16:19:52.586 -0700,"Success",0:00:00,0,0,0,"20211214_161952.586/LogFile.txt","","",1
2021-12-14 16:20:09.561 -0700,"Success",0:00:00,0,0,0,"20211214_162009.561/LogFile.txt","","",1
2021-12-14 16:20:43.218 -0700,"Success",0:00:00,0,0,0,"20211214_162043.218/LogFile.txt","","",1
2021-12-14 16:20:57.091 -0700,"Success",0:00:00,0,0,0,"20211214_162057.091/LogFile.txt","","",1
2021-12-14 16:21:10.163 -0700,"Success",0:00:00,0,0,0,"20211214_162110.163/LogFile.txt","","",1
2021-12-14 16:21:23.997 -0700,"Success",0:00:08,0,0,0,"20211214_162123.997/LogFile.txt","","",1
2021-12-14 16:21:51.128 -0700,"Success",0:00:00,0,0,0,"20211214_162151.128/LogFile.txt","","",1
2021-12-14 16:22:55.889 -0700,"Success",0:00:00,0,0,0,"20211214_162255.889/LogFile.txt","","",1
2021-12-14 16:23:17.777 -0700,"Success",0:00:00,0,0,0,"20211214_162317.777/LogFile.txt","","",1
2021-12-14 16:23:39.137 -0700,"Success",0:00:00,0,0,0,"20211214_162339.137/LogFile.txt","","",1
2021-12-14 16:32:43.201 -0700,"Success",0:00:00,0,0,0,"20211214_163243.201/LogFile.txt","","",1
2021-12-14 16:33:16.425 -0700,"Success",0:00:57,0,0,0,"20211214_163316.425/LogFile.txt","","",1
2021-12-14 16:36:14.147 -0700,"Success",0:00:07,0,0,0,"20211214_163614.147/LogFile.txt","","",1
2021-12-14 16:36:48.581 -0700,"Success",0:00:00,0,0,0,"20211214_163648.581/LogFile.txt","","",1
