Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-12-15 09:24:19.785 -0700,"Success",0:00:00,0,0,0,"20211215_092419.785/LogFile.txt","","",1
2021-12-15 09:25:17.475 -0700,"Success",0:00:00,0,0,0,"20211215_092517.475/LogFile.txt","","",1
2021-12-15 09:49:19.116 -0700,"Failure",0:00:00,1,0,0,"20211215_094919.116/LogFile.txt","","STInvalidParameters -- Command remove was called with invalid parameters",0
2021-12-15 09:50:01.568 -0700,"Success",0:00:01,0,0,0,"20211215_095001.568/LogFile.txt","","",1
2021-12-15 09:51:23.678 -0700,"Success",0:00:01,0,0,0,"20211215_095123.678/LogFile.txt","","",1
2021-12-15 10:09:07.348 -0700,"Success",0:00:02,0,0,0,"20211215_100907.348/LogFile.txt","","",1
2021-12-15 10:10:22.714 -0700,"Success",0:00:02,0,0,0,"20211215_101022.714/LogFile.txt","","",1
2021-12-15 11:30:33.491 -0700,"Failure",0:00:02,1,0,0,"20211215_113033.491/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'numberlookup'",0
2021-12-15 11:33:01.736 -0700,"Success",0:00:06,0,0,0,"20211215_113301.736/LogFile.txt","","",1
2021-12-15 11:54:45.736 -0700,"Failure",0:00:49,1,0,0,"20211215_115445.736/LogFile.txt","","STInvalidNumber -- Value is not a number: 'number'",0
2021-12-15 11:56:26.017 -0700,"Aborted",0:00:57,1,0,0,"20211215_115626.017/LogFile.txt","","",0
2021-12-15 11:57:36.103 -0700,"Success",0:00:14,0,0,0,"20211215_115736.103/LogFile.txt","","",1
2021-12-15 11:59:14.166 -0700,"Failure",0:00:06,1,0,0,"20211215_115914.166/LogFile.txt","","Invalid Range -- Only numeric, date/time, and character ranges are supported (got ""finalScore"" TO ""0"").",0
2021-12-15 11:59:45.477 -0700,"Success",0:00:19,0,0,0,"20211215_115945.477/LogFile.txt","","",1
2021-12-15 12:06:29.217 -0700,"Failure",0:00:10,1,0,0,"20211215_120629.217/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""80"", @""12"":""8"", @""13"":""12"", @""14"":""47"", @""15"":""54"", @""21"":""74"", @""22"":""71"", @""23"":""30"", @""24"":""5"", @""25"":""78"", @""31"":""86"", @""32"":""11"", @""33"":""58"", @""34"":""35"", @""35"":""7"", @""41"":""63"", @""42"":""44"", @""43"":""10"", @""44"":""51"", @""45"":""85"", @""51"":""69"", @""52"":""91"", @""53"":""56"", @""54"":""40"", @""55"":""89""}'.",0
2021-12-15 12:11:11.420 -0700,"Failure",0:00:10,1,0,0,"20211215_121111.420/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""80"", @""12"":""8"", @""13"":""12"", @""14"":""47"", @""15"":""54"", @""21"":""74"", @""22"":""71"", @""23"":""30"", @""24"":""5"", @""25"":""78"", @""31"":""86"", @""32"":""11"", @""33"":""58"", @""34"":""35"", @""35"":""7"", @""41"":""63"", @""42"":""44"", @""43"":""10"", @""44"":""51"", @""45"":""85"", @""51"":""69"", @""52"":""91"", @""53"":""56"", @""54"":""40"", @""55"":""89""}'.",0
2021-12-15 12:16:10.945 -0700,"Failure",0:00:11,1,0,0,"20211215_121610.945/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""80"", @""12"":""8"", @""13"":""12"", @""14"":""47"", @""15"":""54"", @""21"":""74"", @""22"":""71"", @""23"":""30"", @""24"":""5"", @""25"":""78"", @""31"":""86"", @""32"":""11"", @""33"":""58"", @""34"":""35"", @""35"":""7"", @""41"":""63"", @""42"":""44"", @""43"":""10"", @""44"":""51"", @""45"":""85"", @""51"":""69"", @""52"":""91"", @""53"":""56"", @""54"":""40"", @""55"":""89""}'.",0
2021-12-15 12:17:11.807 -0700,"Failure",0:11:55,1,0,0,"20211215_121711.807/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""80"", @""12"":""8"", @""13"":""12"", @""14"":""47"", @""15"":""54"", @""21"":""74"", @""22"":""71"", @""23"":""30"", @""24"":""5"", @""25"":""78"", @""31"":""86"", @""32"":""11"", @""33"":""58"", @""34"":""35"", @""35"":""7"", @""41"":""63"", @""42"":""44"", @""43"":""10"", @""44"":""51"", @""45"":""85"", @""51"":""69"", @""52"":""91"", @""53"":""56"", @""54"":""40"", @""55"":""89""}'.",0
2021-12-15 14:21:05.760 -0700,"Failure",0:09:23,1,0,0,"20211215_142105.760/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""80"", @""12"":""8"", @""13"":""12"", @""14"":""47"", @""15"":""54"", @""21"":""74"", @""22"":""71"", @""23"":""30"", @""24"":""5"", @""25"":""78"", @""31"":""86"", @""32"":""11"", @""33"":""58"", @""34"":""35"", @""35"":""7"", @""41"":""63"", @""42"":""44"", @""43"":""10"", @""44"":""51"", @""45"":""85"", @""51"":""69"", @""52"":""91"", @""53"":""56"", @""54"":""40"", @""55"":""89""}'.",0
2021-12-15 14:34:23.789 -0700,"Aborted",0:03:22,1,0,0,"20211215_143423.789/LogFile.txt","","",0
2021-12-15 14:37:57.142 -0700,"Failure",0:00:54,1,0,0,"20211215_143757.142/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""88"", @""12"":""50"", @""13"":""27"", @""14"":""48"", @""15"":""23"", @""21"":""96"", @""22"":""90"", @""23"":""30"", @""24"":""58"", @""25"":""55"", @""31"":""29"", @""32"":""17"", @""33"":""3"", @""34"":""22"", @""35"":""49"", @""41"":""99"", @""42"":""32"", @""43"":""8"", @""44"":""37"", @""45"":""42"", @""51"":""13"", @""52"":""81"", @""53"":""87"", @""54"":""2"", @""55"":""53""}'.",0
2021-12-15 14:46:06.803 -0700,"Failure",0:00:23,1,0,0,"20211215_144606.803/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""88"", @""12"":""50"", @""13"":""27"", @""14"":""48"", @""15"":""23"", @""21"":""96"", @""22"":""90"", @""23"":""30"", @""24"":""58"", @""25"":""55"", @""31"":""29"", @""32"":""17"", @""33"":""3"", @""34"":""22"", @""35"":""49"", @""41"":""99"", @""42"":""32"", @""43"":""8"", @""44"":""37"", @""45"":""42"", @""51"":""13"", @""52"":""81"", @""53"":""87"", @""54"":""2"", @""55"":""53""}'.",0
2021-12-15 14:50:26.690 -0700,"Failure",0:04:36,1,0,0,"20211215_145026.690/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""88"", @""12"":""50"", @""13"":""27"", @""14"":""48"", @""15"":""23"", @""21"":""96"", @""22"":""90"", @""23"":""30"", @""24"":""58"", @""25"":""55"", @""31"":""29"", @""32"":""17"", @""33"":""3"", @""34"":""22"", @""35"":""49"", @""41"":""99"", @""42"":""32"", @""43"":""8"", @""44"":""37"", @""45"":""42"", @""51"":""13"", @""52"":""81"", @""53"":""87"", @""54"":""2"", @""55"":""53""}'.",0
2021-12-15 14:58:20.643 -0700,"Failure",0:00:24,1,0,0,"20211215_145820.643/LogFile.txt","","BadValue -- Bad value for Chunk expression.  Looking for a number, LAST, MIDDLE, or ANY, got '{@""11"":""88"", @""12"":""50"", @""13"":""27"", @""14"":""48"", @""15"":""23"", @""21"":""96"", @""22"":""90"", @""23"":""30"", @""24"":""58"", @""25"":""55"", @""31"":""29"", @""32"":""17"", @""33"":""3"", @""34"":""22"", @""35"":""49"", @""41"":""99"", @""42"":""32"", @""43"":""8"", @""44"":""37"", @""45"":""42"", @""51"":""13"", @""52"":""81"", @""53"":""87"", @""54"":""2"", @""55"":""53""}'.",0
2021-12-15 14:59:56.157 -0700,"Aborted",0:02:35,1,0,0,"20211215_145956.157/LogFile.txt","","",0
2021-12-15 15:02:36.870 -0700,"Success",0:00:29,0,0,0,"20211215_150236.870/LogFile.txt","","",1
2021-12-15 15:04:20.295 -0700,"Aborted",0:02:48,1,0,0,"20211215_150420.295/LogFile.txt","","",0
2021-12-15 15:14:19.221 -0700,"Success",0:00:41,0,0,0,"20211215_151419.221/LogFile.txt","","",1
2021-12-15 15:17:22.476 -0700,"Success",0:00:42,0,0,0,"20211215_151722.476/LogFile.txt","","",1
2021-12-15 15:18:49.709 -0700,"Aborted",0:01:10,1,0,0,"20211215_151849.709/LogFile.txt","","",0
2021-12-15 15:20:28.066 -0700,"Success",0:00:37,0,0,0,"20211215_152028.066/LogFile.txt","","",1
2021-12-15 15:21:55.394 -0700,"Success",0:17:21,0,0,0,"20211215_152155.394/LogFile.txt","","",1
2021-12-15 15:39:17.841 -0700,"Success",0:04:40,0,0,0,"20211215_153917.841/LogFile.txt","","",1
2021-12-15 15:44:19.915 -0700,"Success",0:00:29,0,0,0,"20211215_154419.915/LogFile.txt","","",1
2021-12-15 15:45:07.975 -0700,"Aborted",0:00:34,1,0,0,"20211215_154507.975/LogFile.txt","","",0
2021-12-15 15:45:52.680 -0700,"Success",0:00:26,0,0,0,"20211215_154552.680/LogFile.txt","","",1
